"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"21",8229,3,"Dahuk","Amedi","Deralook","Deralook","Deralook",3,3,NA,14,32,NA,111,140,-97,-108,6,46,7.66666666666667,1,1,"Dahuk","Amedi","Deraluk",43.64,37.05,"KRI",2094,349,294,0,84,492,0,0,0,612,612,870,870,390,222,84,786,0,0,"250-499","(870,5.42e+04]"
"22",8239,32,"Dahuk","Sumel","Fayida","Fayida","Fayida City Centre",NA,31,NA,NA,142,NA,NA,NA,0,142,31,142,4.58064516129032,2,1,"Dahuk","Sumel","Fayda",42.9287,36.7519,"KRI",8742,1457,0,990,120,1512,0,0,0,0,6120,2622,2622,4512,1608,120,1512,990,0,"500-2000","(870,5.42e+04]"
"23",8288,20,"Dahuk","Dahuk","City Centre","City Centre","Masike",3,13,NA,103,66,NA,NA,NA,103,66,16,169,10.5625,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",8336,36,"Dahuk","Sumel","(blank)","Sumel","Sumel City Centre",4,68,NA,38,449,NA,100,780,-62,-331,72,487,6.76388888888889,2,1,"Dahuk","Sumel","Semel",42.84,36.85,"KRI",16554,2759,0,4800,198,3894,0,0,0,1800,5862,8892,8892,2616,3246,198,3894,4800,0,">2000","(870,5.42e+04]"
"25",8369,35,"Dahuk","Sumel","Fayida","Sharia","Sharia",NA,88,NA,NA,668,NA,394,722,-394,-54,88,668,7.59090909090909,3,1,"Dahuk","Sumel","Shariya",42.99,36.81,"KRI",34092,5682,0,834,0,4008,0,0,0,2904,26346,4842,4842,25284,1062,0,4008,834,0,">2000","(870,5.42e+04]"
"26",8372,26,"Dahuk","Dahuk","City Centre","City Centre","Shindokha",3,NA,NA,15,NA,NA,15,115,0,-115,3,15,5,1,1,"Dahuk","Dahuk","Shindukha",42.96,36.84,"KRI",1320,220,0,690,90,0,0,0,0,0,540,780,780,180,360,90,0,690,0,"100-249","(870,5.42e+04]"
"27",8400,49,"Dahuk","Zakho","City Centre","City Centre","Tilkabar",NA,14,NA,NA,242,NA,50,450,-50,-208,14,242,17.2857142857143,1,2,"Dahuk","Zakho","Tal Kabar",42.71,37.16,"KRI",4458,743,0,2106,0,1452,0,0,0,0,900,3558,3558,306,594,0,1452,2106,0,"500-2000","(870,5.42e+04]"
"28",8443,5,"Dahuk","Amedi","Kani Mase","Kani Mase","Kani Mase",4,NA,NA,90,NA,NA,NA,NA,90,0,4,90,22.5,1,2,"Dahuk","Amedi","Kani Mase",43.2625,37.1345,"KRI",2466,411,0,354,540,600,0,0,0,0,972,1494,1494,666,306,540,600,354,0,"250-499","(870,5.42e+04]"
"29",8554,33,"Dahuk","Sumel","Fayida","Khanke","Khanke",NA,350,NA,NA,1606,NA,500,1200,-500,406,350,1606,4.58857142857143,5,1,"Dahuk","Sumel","Khanke",42.76,36.76,"KRI",48600,8100,0,4068,0,9636,0,0,0,0,34896,13704,13704,34896,0,0,9636,4068,0,">2000","(870,5.42e+04]"
"30",8711,46,"Dahuk","Zakho","Rizgari","Rizgari","Rizgari",1,180,NA,62,680,NA,100,300,-38,380,181,742,4.09944751381216,4,1,"Dahuk","Zakho","Rizgari",42.57,37.13,"KRI",15702,2617,0,1506,372,5592,0,0,0,6000,2232,7470,7470,1164,1068,372,5592,1506,0,">2000","(870,5.42e+04]"
"31",8761,31,"Dahuk","Sumel","Fayida","Domiz","Domiz",NA,50,NA,NA,211,NA,NA,NA,0,211,50,211,4.22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
