"","Row.names","Governorate","District","Place","Longitude","Latitude","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","ID","bio5_17","bio6_17","bio10_17","bio11_17","bio12_17","bio13_17","bio14_17","bio15_17","bio16_17","bio17_17","bio18_17","bio19_17","maxtemp","mintemp","meanwarm","meancold"
"1805","92","Basrah","Basrah","At-tahseeniya al-jadeda",47.825556,30.510833,30,5,0,0,0,0,0,0,0,0,92,41.6,6.8,33.7,13.6,152,33,0,94,87,0,0,85,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1806","920","Baghdad","Al Resafa","Al Muthana - 712",44.467874,33.348345,30,5,0,0,0,0,0,0,0,0,920,43.5,4.3,33.5,11.3,161,31,0,87,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1807","921","Baghdad","Al Resafa","Al baladiyat - 738",44.478087,33.348783,198,33,0,78,0,0,0,0,0,54,921,43.5,4.4,33.5,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1808","922","Baghdad","Al Resafa","Al Baladiyat - 744",44.50718,33.350398,138,23,0,0,0,0,0,0,0,54,922,43.5,4.4,33.5,11.3,162,31,0,89,87,0,0,81,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1809","923","Baghdad","Kadhimia","Al-Shalchiya",44.340022,33.352304,66,11,0,0,0,0,0,0,0,0,923,43.4,4.2,33.4,11.2,157,30,0,84,83,0,0,76,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1810","924","Baghdad","Abu Ghraib","Ghirbawy 1",44.20141,33.352499,288,48,0,0,0,0,0,0,0,0,924,43.3,4,33.4,11.1,150,29,0,87,80,0,0,73,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1811","925","Baghdad","Al Resafa","Al Kamaliya - Mahalla 759",44.5212,33.3533,288,48,0,240,0,0,0,0,0,0,925,43.5,4.4,33.5,11.3,162,31,0,89,87,0,0,81,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1812","926","Baghdad","Al Resafa","Al Kamaliya (Mahla 757)",44.5124,33.3542,54,9,0,0,0,0,0,0,0,0,926,43.5,4.4,33.5,11.3,162,31,0,89,87,0,0,81,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1813","927","Baghdad","Abu Ghraib","Akr koof - 14",44.138887,33.354678,600,100,0,0,0,0,0,0,0,0,927,43.3,4,33.4,11.1,146,28,0,84,77,0,0,70,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1814","928","Baghdad","Abu Ghraib","Al Thanyah - 2",44.138887,33.354678,150,25,0,0,0,0,0,0,0,0,928,43.3,4,33.4,11.1,146,28,0,84,77,0,0,70,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1815","929","Baghdad","Abu Ghraib","Al A'yashiyah 9",44.201667,33.355,210,35,0,0,0,0,0,0,0,60,929,43.3,4,33.4,11.1,150,29,0,87,80,0,0,73,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1816","93","Basrah","Basrah","Al-asma_i al-jadeed",47.791944,30.511389,120,20,0,0,0,0,0,0,0,0,93,41.6,6.9,33.6,13.6,150,33,0,93,86,0,0,84,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1817","930","Baghdad","Karkh","AL Horeya",44.31,33.36,624,104,0,132,0,0,0,0,0,0,930,43.4,4.2,33.4,11.2,155,30,0,89,82,0,0,75,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1818","931","Baghdad","Adhamia","Waziriya",44.39,33.36,18,3,0,0,0,0,0,0,0,0,931,43.5,4.3,33.4,11.3,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1819","932","Anbar","Falluja","Al-A'zrakih",43.710402,33.360468,1146,191,0,204,0,0,114,0,0,0,932,43.5,3.9,33.6,10.9,126,22,0,84,62,0,0,58,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1820","933","Baghdad","Al Resafa","Al Sadir - Block 4",44.439992,33.360801,336,56,0,0,0,0,0,0,0,0,933,43.5,4.3,33.4,11.3,161,31,0,86,86,0,0,79,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1821","934","Baghdad","Adhamia","Al Waziriyah - 305",44.382755,33.364156,42,7,0,0,0,0,0,0,0,0,934,43.4,4.3,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1822","935","Baghdad","Adhamia","Al Waziriyah - 303",44.382445,33.365288,42,7,0,0,0,0,0,0,0,0,935,43.4,4.3,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1823","936","Baghdad","Al Resafa","Adhamiyah",44.357439,33.365759,30,5,0,0,0,0,0,0,0,0,936,43.4,4.2,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1824","937","Baghdad","Adhamia","Adhamiya - 310",44.3573,33.3665,246,41,0,0,0,0,0,0,0,30,937,43.4,4.2,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1825","938","Baghdad","Adhamia","Adhamia - 314",44.37111111,33.36694444,726,121,0,0,0,0,0,0,0,0,938,43.4,4.3,33.4,11.2,158,30,0,84,84,0,0,77,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1826","939","Anbar","Falluja","Mujamma' Al Therthar Al Sakani",43.749764,33.369404,1050,175,0,0,0,0,0,0,0,0,939,43.5,3.8,33.6,10.9,128,22,0,85,63,0,0,59,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1827","94","Basrah","Basrah","Braiha",47.8425,30.511667,192,32,0,0,0,0,0,0,0,0,94,41.8,6.8,33.7,13.6,154,33,0,95,88,0,0,86,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"1828","940","Baghdad","Al Resafa","Al U'baide - 758",44.513942,33.369867,114,19,0,0,0,0,0,0,0,0,940,43.5,4.4,33.5,11.3,162,31,0,89,87,0,0,81,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1829","941","Baghdad","Al Resafa","Al U'baide - 752",44.513953,33.369878,162,27,0,78,0,0,0,0,0,0,941,43.5,4.4,33.5,11.3,162,31,0,89,87,0,0,81,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"1830","942","Baghdad","Kadhimia","Zahra'",44.33,33.37,246,41,0,0,0,0,0,0,0,0,942,43.4,4.2,33.4,11.2,156,30,0,83,82,0,0,75,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
