"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"170","Erbil","Erbil","Dartu Nwa",44.07536,36.1157,"21669","KRI",780,130,0,0,0,0,0,0,0,0,780,0,0,0,780,0,0,0,0
"171","Erbil","Erbil","Kurd Stan",44.0547,36.1243,"21671","KRI",690,115,0,0,0,0,0,0,0,0,690,0,0,0,690,0,0,0,0
"172","Sulaymaniyah","Chamchamal","Qadir Kir Mikan",44.85488,35.49682,"21717","KRI",1506,251,0,186,0,0,0,0,0,60,1260,186,186,0,1260,0,0,186,0
"173","Erbil","Erbil","Al Eskan",44.021336,36.177923,"21874","KRI",240,40,0,0,0,0,0,0,0,0,240,0,0,0,240,0,0,0,0
"174","Dahuk","Zakho","Sha'baniyah",42.68305556,37.14805556,"21970","KRI",54,9,0,0,0,0,0,0,0,0,54,0,0,0,54,0,0,0,0
"175","Dahuk","Dahuk","Al Jam'yah",42.98027778,36.87055556,"21971","KRI",1536,256,0,600,300,0,0,0,0,0,636,900,900,180,456,300,0,600,0
"176","Dahuk","Dahuk","Shili",42.99777778,36.85833333,"21979","KRI",2094,349,0,1320,180,0,0,0,0,0,594,1500,1500,180,414,180,0,1320,0
"177","Dahuk","Dahuk","Malta",42.936945,36.855525,"22023","KRI",1920,320,0,1020,120,0,0,0,0,0,780,1140,1140,408,372,120,0,1020,0
"178","Dahuk","Sumel","Domiz Camp",42.900624,36.788012,"22024","KRI",5100,850,0,2400,888,0,0,0,0,0,1812,3288,3288,1350,462,888,0,2400,0
"179","Erbil","Erbil","Safiya village",43.98666667,36.34138889,"22027","KRI",1518,253,0,318,0,600,0,0,0,0,600,918,918,0,600,0,600,318,0
"180","Erbil","Erbil","Shorash",44.0098,36.2044,"22076","KRI",240,40,0,0,0,0,0,0,0,0,240,0,0,0,240,0,0,0,0
"181","Erbil","Erbil","Rabareen",43.63159,36.26848,"22708","KRI",2100,350,0,0,0,0,0,0,0,0,2100,0,0,2100,0,0,0,0,0
"182","Dahuk","Amedi","Sarhaldan",43.3409,37.0461,"22818","KRI",1356,226,0,660,120,0,0,0,0,0,576,780,780,300,276,120,0,660,0
"183","Erbil","Erbil","Nawroz - Banislawa",44.1198,36.1548,"22825","KRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","Sulaymaniyah","Halabja","Sarray",45.85811,35.35304,"22994","KRI",402,67,0,0,0,0,0,0,0,0,402,0,0,0,402,0,0,0,0
"185","Sulaymaniyah","Sharbazher","Sharazoor-  Razgari",45.67978,35.32402,"23078","KRI",246,41,0,0,0,0,0,0,0,0,246,0,0,0,246,0,0,0,0
"186","Sulaymaniyah","Sharbazher","Soreen",45.69834,35.32073,"23079","KRI",186,31,0,0,0,0,0,0,0,0,186,0,0,0,186,0,0,0,0
